date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:22:31	7032/7032	---MCZ	200	added ('OK')	text/html	etag:W/%221b78-Tfl0YGxy8nmQczymQN1GkQ%22	http://williamfelker.com/tag/reimagining-the-future-of-the-radio/	williamfelker.com/tag/reimagining-the-future-of-the-radio/index.html	(from http://williamfelker.com/)
22:22:31	13388/13388	---MCZ	200	added ('OK')	text/html	etag:W/%22344c-nZYS/DEZSG+lu0e5KS7wwg%22	http://williamfelker.com/2017/02/14/atmosphere/	williamfelker.com/2017/02/14/atmosphere/index.html	(from http://williamfelker.com/)
22:22:35	10394/10394	---MCZ	200	added ('OK')	text/html	etag:W/%22289a-e6bDpK7zcj/sz4vAn3cXxw%22	http://williamfelker.com/2017/01/10/motion-explorations/	williamfelker.com/2017/01/10/motion-explorations/index.html	(from http://williamfelker.com/)
22:22:35	15809/15809	---MCZ	200	added ('OK')	text/html	etag:W/%223dc1-EmFdt5WwPuujt2XhfZdd5w%22	http://williamfelker.com/2017/02/12/freelance/	williamfelker.com/2017/02/12/freelance/index.html	(from http://williamfelker.com/)
22:22:39	19150/19150	---MCZ	200	added ('OK')	text/html	etag:W/%224ace-jCkOQE1u5wCGcD3Nw9rXbA%22	http://williamfelker.com/author/william/	williamfelker.com/author/william/index.html	(from http://williamfelker.com/tag/creating-equal-access-to-medi-cal/)
22:22:53	12319738/12319738	UR-M--	200	added ('Partial%20Content')	image/jpeg	etag:W/%22bbfbfa-153c61c4bad%22	http://williamfelker.com/content/images/2016/03/DSC_8178.jpg	williamfelker.com/content/images/2016/03/DSC_8178.jpg	(from http://williamfelker.com/)
22:26:11	1258910/1258910	---M--	200	added ('OK')	image/jpeg	etag:W/%2213359e-15a7ddf7a0f%22	http://williamfelker.com/content/images/2017/02/IMG_2092.jpg	williamfelker.com/content/images/2017/02/IMG_2092.jpg	(from http://williamfelker.com/2017/02/18/secret-project/)
22:26:59	1578288/1578288	---M--	200	added ('OK')	image/jpeg	etag:W/%22181530-1540de3d1fd%22	http://williamfelker.com/content/images/2016/04/IMG_0260.jpg	williamfelker.com/content/images/2016/04/IMG_0260.jpg	(from http://williamfelker.com/2017/02/18/secret-project/)
22:28:05	1734763/1734763	---M--	200	added ('OK')	image/png	etag:W/%221a786b-153dd3acf35%22	http://williamfelker.com/content/images/2016/04/IXDSN-350-02_Prjct_03_Final-016.png	williamfelker.com/content/images/2016/04/IXDSN-350-02_Prjct_03_Final-016.png	(from http://williamfelker.com/2017/02/17/memory-scarf/)
22:29:17	2215473/2215473	---M--	200	added ('OK')	image/png	etag:W/%2221ce31-153dd3c0225%22	http://williamfelker.com/content/images/2016/04/IXDSN-350-02_Prjct_03_Final-015-1.png	williamfelker.com/content/images/2016/04/IXDSN-350-02_Prjct_03_Final-015-1.png	(from http://williamfelker.com/2017/02/17/memory-scarf/)
22:30:39	1209443/1209443	---M--	200	added ('OK')	image/png	etag:W/%22127463-1540e219679%22	http://williamfelker.com/content/images/2016/04/Prjct06_OOBE_Master_v1-025.png	williamfelker.com/content/images/2016/04/Prjct06_OOBE_Master_v1-025.png	(from http://williamfelker.com/2017/02/14/atmosphere/)
22:30:41	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2002%20Feb%202018%2006:30:39%20GMT	http://williamfelker.com/2017/02/12/freelance/ideo.com	williamfelker.com/2017/02/12/freelance/ideo.3d.delayed	(from http://williamfelker.com/2017/02/12/freelance/)
22:31:56	870957/870957	---M--	200	added ('OK')	image/png	etag:W/%22d4a2d-1570da92ca5%22	http://williamfelker.com/content/images/2016/09/Desktop-HD.png	williamfelker.com/content/images/2016/09/Desktop-HD.png	(from http://williamfelker.com/2017/02/14/atmosphere/)
22:32:27	2045804/2045804	---M--	200	added ('OK')	image/png	etag:W/%221f376c-153dd3b3ed9%22	http://williamfelker.com/content/images/2016/04/IXDSN-350-02_Prjct_03_Final-017-1.png	williamfelker.com/content/images/2016/04/IXDSN-350-02_Prjct_03_Final-017-1.png	(from http://williamfelker.com/2017/02/17/memory-scarf/)
11:57:23	68664/68664	---M--	200	added ('OK')	image/png	etag:W/%2210c38-15d3ab585a7%22	http://williamfelker.com/content/images/2017/07/fjordmakeshop.png	williamfelker.com/content/images/2017/07/fjordmakeshop.png	(from http://williamfelker.com/2017/02/12/freelance/)
12:01:26	1336646/1336646	---M--	200	added ('OK')	image/gif	etag:W/%22146546-160d9690c97%22	http://williamfelker.com/content/images/2018/01/20171104-0.gif	williamfelker.com/content/images/2018/01/20171104-0.gif	(from http://williamfelker.com/2017/01/10/motion-explorations/)
12:02:00	1608720/1608720	---M--	200	added ('OK')	image/jpeg	etag:W/%22188c10-15d3ac00537%22	http://williamfelker.com/content/images/2017/07/AQJatrvx9_AwKpWbP627yvvUaGcm.jpg	williamfelker.com/content/images/2017/07/AQJatrvx9_AwKpWbP627yvvUaGcm.jpg	(from http://williamfelker.com/2017/02/12/freelance/)
12:02:36	1757767/1757767	---M--	200	added ('OK')	image/gif	etag:W/%221ad247-160dec3ac6f%22	http://williamfelker.com/content/images/2018/01/20171227-0.gif	williamfelker.com/content/images/2018/01/20171227-0.gif	(from http://williamfelker.com/2017/01/10/motion-explorations/)
12:02:38	1841754/1841754	---M--	200	added ('OK')	image/jpeg	etag:W/%221c1a5a-15d3aaa50ff%22	http://williamfelker.com/content/images/2017/07/IMG_3541.jpg	williamfelker.com/content/images/2017/07/IMG_3541.jpg	(from http://williamfelker.com/2017/02/12/freelance/)
12:05:59	1083676/1083676	---M--	200	added ('OK')	image/png	etag:W/%2210891c-160dec0c6f7%22	http://williamfelker.com/content/images/2018/01/Image.png	williamfelker.com/content/images/2018/01/Image.png	(from http://williamfelker.com/2017/01/10/motion-explorations/)
12:22:27	6808453/6808453	---M--	200	added ('OK')	image/png	etag:W/%2267e385-160decbe4ff%22	http://williamfelker.com/content/images/2018/01/cd4-020171112_2.png	williamfelker.com/content/images/2018/01/cd4-020171112_2.png	(from http://williamfelker.com/2017/01/10/motion-explorations/)
12:23:41	7031174/7031174	---M--	200	added ('OK')	image/gif	etag:W/%226b4986-160deba0163%22	http://williamfelker.com/content/images/2018/01/20171230_1.gif	williamfelker.com/content/images/2018/01/20171230_1.gif	(from http://williamfelker.com/2017/01/10/motion-explorations/)
